Generating taxpayers...
============================================================

Generating 38 taxpayers for addis_ababa-tc1...
  ✓ Ethio IT Solutions PLC (CRITICAL, comprehensive)
    annualRevenue: 1307000000,
    employees: 147,
    registeredDate: '2020-12-22',
    lastAudit: '2021-07-25',
    complianceHistory: 'Minor discrepancies noted',
    address: 'Mexico Square, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-321',
    tin: 'TIN-3421',
    name: 'Zewditu Pharmacy PLC',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 75,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 932000000,
    employees: 110,
    registeredDate: '2010-02-19',
    lastAudit: '2021-05-11',
    complianceHistory: 'Related party transactions need review',
    address: 'Merkato, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-322',
    tin: 'TIN-3422',
    name: 'Flintstone Development',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 32,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 87000000,
    employees: 56,
    registeredDate: '2019-07-18',
    lastAudit: '2021-05-25',
    complianceHistory: 'Minor discrepancies noted',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-323',
    tin: 'TIN-3423',
    name: 'Sheger Transport',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 51,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 329000000,
    employees: 45,
    registeredDate: '2011-11-02',
    lastAudit: '2023-08-17',
    complianceHistory: 'Late filings',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-324',
    tin: 'TIN-3424',
    name: 'Guna Trading House',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 60,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 228000000,
    employees: 38,
    registeredDate: '2015-06-09',
    lastAudit: '2021-02-10',
    complianceHistory: 'Export tax verification needed',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-325',
    tin: 'TIN-3425',
    name: 'Anbessa City Bus S.C.',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 63,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 543000000,
    employees: 72,
    registeredDate: '2018-08-19',
    lastAudit: '2021-10-24',
    complianceHistory: 'Transfer pricing concerns',
    address: 'Sidist Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-326',
    tin: 'TIN-3426',
    name: 'Berhan Bank',
    sector: 'Financial Services',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 97,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 5397000000,
    employees: 644,
    registeredDate: '2008-12-21',
    lastAudit: '2022-05-23',
    complianceHistory: 'Complex revenue streams',
    address: 'Bole, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-327',
    tin: 'TIN-3427',
    name: 'Akaki Power Plant',
    sector: 'Energy',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 78,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1202000000,
    employees: 164,
    registeredDate: '2018-04-21',
    lastAudit: '2023-06-19',
    complianceHistory: 'Minor discrepancies noted',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-328',
    tin: 'TIN-3428',
    name: 'Sky Bus PLC',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 98,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 4417000000,
    employees: 557,
    registeredDate: '2012-12-09',
    lastAudit: '2022-12-20',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'Bambis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-329',
    tin: 'TIN-3429',
    name: 'Ethiopian Cargo',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 100,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 4339000000,
    employees: 560,
    registeredDate: '2014-07-16',
    lastAudit: '2023-09-20',
    complianceHistory: 'Production volume discrepancies',
    address: 'Bambis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-330',
    tin: 'TIN-3430',
    name: 'Abay Trading',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 81,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1879000000,
    employees: 278,
    registeredDate: '2018-03-13',
    lastAudit: '2023-02-23',
    complianceHistory: 'Late filings',
    address: 'Sidist Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-331',
    tin: 'TIN-3431',
    name: 'Yekatit Hospital Supply Co.',
    sector: 'Healthcare',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 52,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 500000000,
    employees: 126,
    registeredDate: '2017-01-26',
    lastAudit: '2022-10-15',
    complianceHistory: 'Complex revenue streams',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-332',
    tin: 'TIN-3432',
    name: 'Saba Engineering',
    sector: 'Construction',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 39,
    riskLevel: 'LOW',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 137000000,
    employees: 44,
    registeredDate: '2011-09-12',
    lastAudit: '2022-02-20',
    complianceHistory: 'Multiple revenue sources',
    address: 'Kazanchis, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-333',
    tin: 'TIN-3433',
    name: 'Kaleb Engineering',
    sector: 'Construction',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 84,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1633000000,
    employees: 201,
    registeredDate: '2018-06-23',
    lastAudit: '2023-10-02',
    complianceHistory: 'Late filings',
    address: 'Arat Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-334',
    tin: 'TIN-3434',
    name: 'Zemen Tech Group',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 88,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1330000000,
    employees: 169,
    registeredDate: '2011-09-02',
    lastAudit: '2021-10-19',
    complianceHistory: 'Good compliance record',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-335',
    tin: 'TIN-3435',
    name: 'Gurd Shola Real Estate PLC',
    sector: 'Real Estate',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 53,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 225000000,
    employees: 77,
    registeredDate: '2019-05-22',
    lastAudit: '2022-11-02',
    complianceHistory: 'Excise tax review needed',
    address: 'Sidist Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-336',
    tin: 'TIN-3436',
    name: 'Opal Construction Group',
    sector: 'Construction',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 98,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 6079000000,
    employees: 944,
    registeredDate: '2016-02-01',
    lastAudit: '2023-10-20',
    complianceHistory: 'VAT discrepancies',
    address: 'CMC, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-337',
    tin: 'TIN-3437',
    name: 'Marriott Executive',
    sector: 'Hospitality',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 90,
    riskLevel: 'CRITICAL',
    suggestedAuditType: 'comprehensive',
    annualRevenue: 7234000000,
    employees: 1100,
    registeredDate: '2016-05-21',
    lastAudit: '2023-10-21',
    complianceHistory: 'Production volume discrepancies',
    address: 'Sarbet, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-338',
    tin: 'TIN-3438',
    name: 'Etete Supermarket',
    sector: 'Retail',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 77,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1767000000,
    employees: 198,
    registeredDate: '2014-03-18',
    lastAudit: '2021-03-27',
    complianceHistory: 'Export tax verification needed',
    address: 'Summit, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-339',
    tin: 'TIN-3439',
    name: 'Eliana Hotel',
    sector: 'Hospitality',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 58,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 656000000,
    employees: 103,
    registeredDate: '2012-11-27',
    lastAudit: '2022-08-14',
    complianceHistory: 'Multiple late filings',
    address: 'Lebu, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-340',
    tin: 'TIN-3440',
    name: 'Moha Soft Drinks',
    sector: 'Manufacturing',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 55,
    riskLevel: 'MEDIUM',
    suggestedAuditType: 'desk_audit',
    annualRevenue: 440000000,
    employees: 71,
    registeredDate: '2017-07-31',
    lastAudit: '2023-02-05',
    complianceHistory: 'Multiple late filings',
    address: 'Akaki, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-341',
    tin: 'TIN-3441',
    name: 'Digital Ethiopia',
    sector: 'Telecommunications',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 79,
    riskLevel: 'HIGH',
    suggestedAuditType: 'issue_audit',
    annualRevenue: 1132000000,
    employees: 179,
    registeredDate: '2011-12-11',
    lastAudit: '2021-12-04',
    complianceHistory: 'Transfer pricing concerns',
    address: 'Gerji, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-342',
    tin: 'TIN-3442',
    name: 'Bazezew Trading',
    sector: 'Import/Export',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 89,
    riskLevel: 'HIGH',
    suggestedAuditType: 'transfer_pricing',
    annualRevenue: 1511000000,
    employees: 248,
    registeredDate: '2015-11-23',
    lastAudit: '2021-09-24',
    complianceHistory: 'Service tax concerns',
    address: 'Sidist Kilo, Addis Ababa'
  },

  {
    id: 'tp-aa-tc3-343',
    tin: 'TIN-3443',
    name: 'Golden Bus',
    sector: 'Transportation',
    taxCenter: 'addis_ababa-tc3',
    region: 'addis_ababa',
    riskScore: 89,
    riskLevel: 'HIGH',
    suggestedAuditType: 'field_audit',
    annualRevenue: 1781000000,
    employees: 247,
    registeredDate: '2020-01-18',
    lastAudit: '2022-12-12',
    complianceHistory: 'Intercompany pricing review needed',
    address: 'Merkato, Addis Ababa'
  }

// ===== END GENERATED TAXPAYERS =====

✅ Generated 124 taxpayers ready to add!
📋 Copy the output above and add to taxpayers.js
